"","TimeStamp","Enlem(N)","Boylam(E)","Derinlik(km)","MD","ML","Mw","Yer","Çözüm Niteligi"
"81","2020.12.16 15:30:17","40.7092"," 27.6702","4.3","-.-","1.8","-.-"," SARAYLAR-MARMARA (BALIKESIR)","Ilksel"
"82","2020.12.16 15:08:47","36.2842"," 30.5487"," 19.2","-.-","3.3","3.2"," ADRASAN-KUMLUCA (ANTALYA)"," Ilksel"
"83","2020.12.16 15:00:25","40.7955"," 27.7165","5.9","-.-","2.3","-.-"," MARMARA DENIZI","Ilksel"
"84","2020.12.16 14:25:07","37.7190"," 27.1588"," 13.9","-.-","2.2","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"85","2020.12.16 13:21:42","37.7502"," 27.0967","6.1","-.-","2.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"86","2020.12.16 13:11:11","37.9328"," 26.9462"," 16.7","-.-","1.4","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"87","2020.12.16 12:51:34","36.4357"," 27.9647"," 45.7","-.-","1.9","-.-"," AKDENIZ"," REVIZE01"
"88","2020.12.16 12:43:30","39.2692"," 41.6690"," 26.4","-.-","2.2","-.-"," AKGOZE-HINIS (ERZURUM)","Ilksel"
"89","2020.12.16 12:11:01","37.3953"," 28.3778","0.0","-.-","2.0","-.-"," MENTESE-KAVAKLIDERE (MUGLA)"," Ilksel"
"90","2020.12.16 11:31:47","37.1378"," 38.5788"," 10.1","-.-","2.0","-.-"," CIRALI-(SANLIURFA)","Ilksel"
"91","2020.12.16 10:07:43","37.6995"," 27.1465"," 19.7","-.-","1.7","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"92","2020.12.16 10:00:39","37.8350"," 26.9323","6.0","-.-","1.8","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"93","2020.12.16 09:47:03","37.6935"," 27.0607"," 13.1","-.-","2.0","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"94","2020.12.16 09:42:37","37.8792"," 26.9083"," 12.1","-.-","2.2","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"95","2020.12.16 09:42:24","40.4258"," 28.9367","7.5","-.-","1.9","-.-"," GEMLIK KORFEZI (MARMARA DENIZI)"," Ilksel"
"96","2020.12.16 09:27:34","39.6632"," 41.2832"," 15.6","-.-","1.8","-.-"," YALINCA-TEKMAN (ERZURUM)","Ilksel"
"97","2020.12.16 09:14:24","39.0043"," 28.6867","8.3","-.-","1.8","-.-"," YIGITLER-DEMIRCI (MANISA)"," Ilksel"
"98","2020.12.16 09:03:31","40.3975"," 27.1560","6.6","-.-","2.1","-.-"," CAKIRLI-BIGA (CANAKKALE)","Ilksel"
"99","2020.12.16 09:02:25","37.7870"," 26.7838","9.7","-.-","2.1","-.-"," SISAM ADASI (EGE DENIZI)","Ilksel"
"100","2020.12.16 08:54:54","38.0225"," 27.0892","5.4","-.-","1.9","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"101","2020.12.16 08:54:16","37.9695"," 26.9822"," 27.2","-.-","1.9","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"102","2020.12.16 08:47:25","37.9497"," 27.1575"," 11.2","-.-","1.7","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"103","2020.12.16 08:20:28","37.3760"," 27.7207","0.0","-.-","1.7","-.-"," KAFACA-MILAS (MUGLA)","Ilksel"
"104","2020.12.16 08:20:17","37.3142"," 28.3055"," 19.0","-.-","2.1","-.-"," KOZAGAC-(MUGLA)"," Ilksel"
"105","2020.12.16 07:47:06","38.0942"," 27.1205","4.8","-.-","1.7","-.-"," CAMONU-MENDERES (IZMIR)"," Ilksel"
"106","2020.12.16 06:41:56","37.7212"," 27.0710","6.9","-.-","1.4","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"107","2020.12.16 06:23:18","39.5493"," 40.9368","5.9","-.-","2.2","-.-"," KOSELER-CAT (ERZURUM)"," Ilksel"
"108","2020.12.16 06:03:46","37.8107"," 26.9382","8.1","-.-","2.0","-.-"," SISAM ADASI (EGE DENIZI)","Ilksel"
"109","2020.12.16 05:53:58","38.5073"," 39.3590","6.4","-.-","1.3","-.-"," CEVIZDERE-(ELAZIG)","Ilksel"
"110","2020.12.16 05:37:06","37.8848"," 27.0152","7.1","-.-","3.2","3.1"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"111","2020.12.16 05:34:18","36.9582"," 34.5812"," 13.1","-.-","1.4","-.-"," EVRENLI-TOROSLAR (MERSIN)"," Ilksel"
"112","2020.12.16 05:05:57","37.2165"," 28.2303","8.9","-.-","1.3","-.-"," KAFACA-(MUGLA)","Ilksel"
"113","2020.12.16 04:53:55","37.7097"," 27.0882","2.9","-.-","1.5","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"114","2020.12.16 04:51:24","37.8760"," 26.9753","5.1","-.-","1.7","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
